link,date,track,country,time,race_title,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,edate,link,date,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,1,0,3,Hot Voice,IRE,6.5,11/2,,2,2018,133,0.25,0.0,2,70,74,82,Luke McAteer,J S Bolger,b,c,Vocalised (USA),Stair An Damhsa (IRE),Teofilo,op 7/1,,0
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,2,1,9,White Pepper,IRE,4.333,100/30,,2,2018,133,0.25,0.0,9,65,68,76,Gary Carroll,Gavin Cromwell,b,f,Fast Company (IRE),Quite Smart (IRE),Arcano,op 9/2,p,0
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,3,2,8,Cisco Disco,IRE,17.0,16/1,,2,2018,128,10.0,10.25,5,67,40,54,Vanessa Maye,Jack W Davison,b,g,Elzaam (AUS),Sovereign Street,Compton Place,op 22/1,b,1
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,4,3,14,Perilous,IRE,21.0,20/1,,2,2018,123,2.25,12.5,13,60,26,42,Dylan Browne McMonagle,Augustine Leahy,ch,f,Buratino (IRE),Perilously (USA),Mr Greeley,op 16/1 tchd 22/1,,0
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,5,4,2,Valderrama,IRE,21.0,20/1,,2,2018,134,0.25,12.75,6,66,31,47,N G McCullagh,Charles O'Brien,b,c,Kodiac,Ceaseless (IRE),Iffraaj,op 25/1,t,1
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,6,5,16,Bohenie,IRE,34.0,33/1,,2,2018,128,3.0,15.75,12,60,16,34,Tom Madden,Mrs John Harrington,b,c,Showcasing,Greenisland (IRE),Fasliyev,op 28/1,tp,1
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,7,6,11,Brehon Star,IRE,34.0,33/1,,2,2018,137,0.5,16.25,4,69,23,41,Robbie Colgan,Mark Michael McNiff,b,c,Lawman (FR),Lumiere Astrale (FR),Trempolino,op 16/1 tchd 14/1,,0
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,8,7,6,Chummie,IRE,51.0,50/1,,2,2018,133,0.25,16.5,7,65,18,37,Chris Hayes,T M Walsh,b,f,Equiano (FR),Cassandane (IRE),Jeremy,op 40/1 tchd 66/1,,0
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,9,8,12,Lisabetta,IRE,41.0,40/1,,2,2018,116,1.75,18.25,14,58,6,26,Emma Doyle,Timothy Doyle,b,f,Gutaifan (IRE),Casablanca Jewel (IRE),Kalanisi,op 22/1,,0
https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,Gowran Park (IRE),Ireland,02:05:00,Gowran Park Racing Club Nursery Handicap (Plus 10 Race),C2: Nursery; C4: Handicap;,0,,2yo,0.0,0.875,Soft To Heavy,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",14,94.15,-10.15,129.0,2020-10-21 17:26:20,https://www.racingpost.com/results/184/gowran-park/2020-10-19/769642,2020-10-19,10,9,17,Tiger Mylk,IRE,15.0,14/1,,2,2018,131,3.0,21.25,3,70,9,31,Mikey Sheehy,D K Weld,b,f,Dragon Pulse (IRE),Rosa Gialla (IRE),Diamond Green,tchd 16/1,b,0
